PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=235 ttl=116 time=26.6 ms
1408 bytes from 8.8.8.8: icmp_seq=236 ttl=116 time=24.9 ms
1408 bytes from 8.8.8.8: icmp_seq=237 ttl=116 time=26.5 ms
1408 bytes from 8.8.8.8: icmp_seq=238 ttl=116 time=25.0 ms
1408 bytes from 8.8.8.8: icmp_seq=239 ttl=116 time=31.9 ms
1408 bytes from 8.8.8.8: icmp_seq=240 ttl=116 time=31.0 ms
1408 bytes from 8.8.8.8: icmp_seq=241 ttl=116 time=43.2 ms
1408 bytes from 8.8.8.8: icmp_seq=242 ttl=116 time=49.1 ms
1408 bytes from 8.8.8.8: icmp_seq=243 ttl=116 time=40.8 ms
1408 bytes from 8.8.8.8: icmp_seq=244 ttl=116 time=30.3 ms
1408 bytes from 8.8.8.8: icmp_seq=245 ttl=116 time=49.9 ms
1408 bytes from 8.8.8.8: icmp_seq=246 ttl=116 time=54.0 ms
1408 bytes from 8.8.8.8: icmp_seq=247 ttl=116 time=38.4 ms
1408 bytes from 8.8.8.8: icmp_seq=248 ttl=116 time=30.6 ms
1408 bytes from 8.8.8.8: icmp_seq=249 ttl=116 time=30.1 ms
1408 bytes from 8.8.8.8: icmp_seq=250 ttl=116 time=35.0 ms
1408 bytes from 8.8.8.8: icmp_seq=251 ttl=116 time=35.0 ms
1408 bytes from 8.8.8.8: icmp_seq=252 ttl=116 time=36.4 ms
1408 bytes from 8.8.8.8: icmp_seq=253 ttl=116 time=29.1 ms
1408 bytes from 8.8.8.8: icmp_seq=254 ttl=116 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=255 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=256 ttl=116 time=35.1 ms
1408 bytes from 8.8.8.8: icmp_seq=257 ttl=116 time=29.2 ms
1408 bytes from 8.8.8.8: icmp_seq=258 ttl=116 time=30.4 ms
1408 bytes from 8.8.8.8: icmp_seq=259 ttl=116 time=31.3 ms
1408 bytes from 8.8.8.8: icmp_seq=260 ttl=116 time=31.6 ms
1408 bytes from 8.8.8.8: icmp_seq=261 ttl=116 time=30.7 ms
1408 bytes from 8.8.8.8: icmp_seq=262 ttl=116 time=39.4 ms
1408 bytes from 8.8.8.8: icmp_seq=263 ttl=116 time=46.9 ms
1408 bytes from 8.8.8.8: icmp_seq=264 ttl=116 time=42.2 ms
1408 bytes from 8.8.8.8: icmp_seq=265 ttl=116 time=39.1 ms
1408 bytes from 8.8.8.8: icmp_seq=266 ttl=116 time=53.6 ms
1408 bytes from 8.8.8.8: icmp_seq=267 ttl=116 time=33.1 ms
1408 bytes from 8.8.8.8: icmp_seq=268 ttl=116 time=50.9 ms
1408 bytes from 8.8.8.8: icmp_seq=269 ttl=116 time=50.6 ms
1408 bytes from 8.8.8.8: icmp_seq=270 ttl=116 time=48.9 ms
1408 bytes from 8.8.8.8: icmp_seq=271 ttl=116 time=32.7 ms
1408 bytes from 8.8.8.8: icmp_seq=272 ttl=116 time=47.4 ms
1408 bytes from 8.8.8.8: icmp_seq=273 ttl=116 time=47.3 ms
1408 bytes from 8.8.8.8: icmp_seq=274 ttl=116 time=26.8 ms
1408 bytes from 8.8.8.8: icmp_seq=275 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=276 ttl=116 time=33.3 ms
1408 bytes from 8.8.8.8: icmp_seq=277 ttl=116 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=278 ttl=116 time=33.9 ms
1408 bytes from 8.8.8.8: icmp_seq=279 ttl=116 time=30.3 ms
1408 bytes from 8.8.8.8: icmp_seq=280 ttl=116 time=29.1 ms
1408 bytes from 8.8.8.8: icmp_seq=281 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=282 ttl=116 time=33.1 ms
1408 bytes from 8.8.8.8: icmp_seq=283 ttl=116 time=29.3 ms
1408 bytes from 8.8.8.8: icmp_seq=284 ttl=116 time=36.0 ms
1408 bytes from 8.8.8.8: icmp_seq=285 ttl=116 time=28.1 ms
1408 bytes from 8.8.8.8: icmp_seq=286 ttl=116 time=28.7 ms
1408 bytes from 8.8.8.8: icmp_seq=287 ttl=116 time=24.2 ms
1408 bytes from 8.8.8.8: icmp_seq=288 ttl=116 time=30.1 ms
1408 bytes from 8.8.8.8: icmp_seq=289 ttl=116 time=34.8 ms
1408 bytes from 8.8.8.8: icmp_seq=290 ttl=116 time=36.8 ms
1408 bytes from 8.8.8.8: icmp_seq=291 ttl=116 time=36.1 ms
1408 bytes from 8.8.8.8: icmp_seq=292 ttl=116 time=56.5 ms
1408 bytes from 8.8.8.8: icmp_seq=293 ttl=116 time=28.0 ms
1408 bytes from 8.8.8.8: icmp_seq=294 ttl=116 time=27.9 ms
1408 bytes from 8.8.8.8: icmp_seq=295 ttl=116 time=40.1 ms
1408 bytes from 8.8.8.8: icmp_seq=296 ttl=116 time=45.1 ms
